X,Y,FID,GCOMPID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR
-7579378.444,5619846.119,222,GCOMP1198,WOOD CHOPPING RIDGE,NORTH OF STUD MILL RD & 35-00-0 RD,NOT AVAILABLE,AURORA,ME,4461,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,HANCOCK,23009,USA,44.989357,-68.086715,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE",10/6/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.spectraenergy.com/,"MARITIMES & NORTHEAST PIPELINE, L.L.C.",63,"MARITIMES & NORTHEAST PIPELINE, L.L.C.",WITHIN 40 FEET,1,18085,51370001,1279327,0,363609,1810,1,2/12/2012 0:00,0,0
-11678285.77,3733625.649,223,GCOMP1199,BLACK RIVER,NORTH OF TX-62/3 MILES WEST OF TX-54,"SECTION 17, T&P TOWNSHIP 2, BLOCK 60",PINE SPRINGS,TX,79847,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CULBERSON,48109,USA,31.773577,-104.907826,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",9/21/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,https://pipeportal.kindermorgan.com/,"EL PASO NATURAL GAS COMPANY, L.L.C.",33,"EL PASO NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,1,15000,12984669,17052,96050,5283,81,1,10/19/2012 0:00,0,0
-12049354.25,4842028.281,224,GCOMP12,WHITE RIVER,0.75 MILES SOUTH OF 18834 CO RD 5 ADDRESS,NOT AVAILABLE,MEEKER,CO,81641,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,RIO BLANCO,8103,USA,39.83523772,-108.2411908,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE, IMAGERY",10/16/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://pipelines.centerpointenergy.com/,"CENTERPOINT ENERGY GAS TRANSMISSION COMPANY, LLC",31,"CENTERPOINT ENERGY GAS TRANSMISSION COMPANY, LLC",WITHIN 40 FEET,2,4700,9532724,0,18536,0,0,0,,0,0
-9873687.62,3629467.528,225,GCOMP120,LUCEDALE,1252 OBIE JACKSON RD,NOT AVAILABLE,LUCEDALE,MS,39452,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,GEORGE,28039,USA,30.974728,-88.696845,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/10/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.spectraenergy.com/,"SOUTHEAST SUPPLY HEADER, LLC.",575,"SOUTHEAST SUPPLY HEADER, LLC.",WITHIN 40 FEET,1,12916,27919783,1946559,0,722819,8623,1,10/1/2012 0:00,0,0
-11196721.8,6159126.058,226,GCOMP1200,TOWNER,NORTH OF US RTE 2/CENTER AVE,NOT AVAILABLE,TOWNER,ND,58788,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MCHENRY,38049,USA,48.31324082,-100.5818633,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",10/28/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://tariff.alliance-pipeline.com/,ALLIANCE PIPELINE,63,ALLIANCE PIPELINE,WITHIN 40 FEET,1,31206,31519772,0,1749859,1759638,8429,0,12/11/2012 0:00,0,0
-11609211.26,5843825.819,227,GCOMP1201,BAKER BOOSTER HIGH PRESSURE,"NORTHEAST ┬╝ OF SECTION 2, TOWNSHIP 7 NORTH, RANGE 59 EAST (EAST OF PENNEL RD/1.5 MILES NORTH OF BAKER)",NOT AVAILABLE,BAKER,MT,59313,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,FALLON,30025,USA,46.39469047,-104.2873191,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, MONTANA DEPARTMENT OF ENVIRONMENTAL QUALITY",8/14/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://deq.mt.gov/,WILLISTON BASIN INTERSTATE PIPELINE COMPANY,49,WILLISTON BASIN INTERSTATE PIPELINE COMPANY,WITHIN 40 FEET,3,5040,5464257,683259,320816,259731,20346,3,1/24/2012 0:00,0,0
-11608967.44,5843790.27,228,GCOMP1202,BAKER BOOSTER LOW PRESSURE,"NORTHEAST ┬╝ OF SECTION 2, TOWNSHIP 7 NORTH, RANGE 59 EAST (EAST OF PENNEL RD/1.5 MILES NORTH OF BAKER)",NOT AVAILABLE,BAKER,MT,59313,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,FALLON,30025,USA,46.39447022,-104.2851289,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, MONTANA DEPARTMENT OF ENVIRONMENTAL QUALITY",8/14/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://deq.mt.gov/,WILLISTON BASIN INTERSTATE PIPELINE COMPANY,49,WILLISTON BASIN INTERSTATE PIPELINE COMPANY,WITHIN 40 FEET,1,1680,2898630,0,267912,0,8729,1,1/24/2012 0:00,237948,3494338
-11609106.38,5843790.27,229,GCOMP1203,SANDSTONE,"NORTHEAST ┬╝ OF SECTION 2, TOWNSHIP 7 NORTH, RANGE 59 EAST (EAST OF PENNEL RD/1.5 MILES NORTH OF BAKER)",NOT AVAILABLE,BAKER,MT,59313,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,FALLON,30025,USA,46.39447022,-104.286377,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, MONTANA DEPARTMENT OF ENVIRONMENTAL QUALITY",8/14/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://deq.mt.gov/,WILLISTON BASIN INTERSTATE PIPELINE COMPANY,49,WILLISTON BASIN INTERSTATE PIPELINE COMPANY,WITHIN 40 FEET,3,5040,7316311,99899,67848,34271,3288,2,12/22/2012 0:00,0,0
-9194099.829,4631952.161,230,GCOMP1204,KENOVA,NOVAMONT RD/ CO HWY 1/16,NOT AVAILABLE,KENOVA,WV,25530,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WAYNE,54099,USA,38.370881,-82.592004,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",10/15/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,9,16400,12897973,1594650,1383209,578019,55355,7,5/29/2012 0:00,1282920,22046400
-10725937.06,4145749.724,231,GCOMP1205,ALLEN,NS374 RD/EW 148 RD (3.54 MILES SE OF ALLEN),NOT AVAILABLE,ALLEN,OK,74825,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,HUGHES,40063,USA,34.86647,-96.352732,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE",8/19/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://pipelines.centerpointenergy.com/,"CENTERPOINT ENERGY GAS TRANSMISSION COMPANY, LLC",31,"CENTERPOINT ENERGY GAS TRANSMISSION COMPANY, LLC",WITHIN 40 FEET,1,13220,13895806,188567,66366,78155,1027,0,,0,0
